name,kioskId,start_station,total_start_trips,end_station,total_end_trips,totalDocks,percent_car,totalpop,student_ratio,educated_ratio,employed_ratio,logDistRests,within_centerCity,logIntersectionDists,logStationDists,laggedTrips
"15th & Castle, DiSilvestro Playground",3150,3150,369,3150,423,17,0.41383495145631066,3419.0,0.016671541337608828,0.14009944387218648,0.5329043564407594,2.435406037603432,0,1.8382855701109588,2.8740401606521444,602.6
13th & Locust,3045,3045,1440,3045,1447,15,0.1563721657544957,2073.0,0.013989387293828329,0.022190062604003555,0.6980221866955031,2.247828415242838,1,1.4770987214109252,2.764155034475692,1332.2
2nd & Market,3046,3046,1397,3046,1405,26,0.4057971014492754,2004.0,0.0,0.04540918141013382,0.793413169693547,2.0369093554309945,0,1.6240717347508573,2.7659298889442634,774.6
"Independence Mall, NPS",3047,3047,983,3047,970,20,0.4057971014492754,2004.0,0.0,0.04540918141013382,0.793413169693547,2.58164393205655,0,1.963250555918335,2.739015143290634,787.2
Foglietta Plaza,3049,3049,1031,3049,1098,29,0.6845540246555475,2337.0,0.007274283238021894,0.03936670928811849,0.7111681612701405,2.6356460699504374,0,1.8203467872659513,2.8969633435030078,889.4
Race Street Pier,3124,3124,524,3124,527,17,0.6845540246555475,2337.0,0.007274283238021894,0.03936670928811849,0.7111681612701405,2.716129952967518,0,1.5908088776777758,2.9360096216395792,656.6
23rd & Fairmount,3051,3051,659,3051,550,37,0.49071870537839124,4015.0,0.02515566618890245,0.0433374843254359,0.7051058512948796,2.340516945075673,0,1.613986258790642,2.7581725070062895,1123.2
9th & Locust,3052,3052,1328,3052,1302,25,0.448062015503876,2795.0,0.05867620730348405,0.04543828248501509,0.5645796044201087,2.5272888647060836,1,1.3581178323478171,2.7344255497992336,996.6
Point Breeze & Tasker,3053,3053,684,3053,705,19,0.6713681241184767,3946.0,0.03319817528332951,0.15509376544578365,0.42904206682959434,2.8461540970459738,0,1.4704434057560116,3.0591950063511053,695.2
Rodin Museum,3054,3054,1323,3054,1310,35,0.5520257826887661,3697.0,0.0,0.02731944812734799,0.721936703484077,2.528155381650084,0,1.6816431943899823,2.7618413759615574,736.6
Philadelphia Museum of Art,3057,3057,2046,3057,1973,26,0.5520257826887661,3697.0,0.0,0.02731944812734799,0.721936703484077,2.791201917023248,0,1.703695339207216,2.678295678101111,1103.8
Free Library of Philadelphia - Central Library,3060,3060,525,3060,521,19,0.5520257826887661,3697.0,0.0,0.02731944812734799,0.721936703484077,2.5373544503777556,0,1.8441916160575413,2.64098363044983,562.8
Barnes Foundation,3116,3116,621,3116,615,21,0.5520257826887661,3697.0,0.0,0.02731944812734799,0.721936703484077,2.4893637937674247,0,1.467664026510888,2.6150328540115777,607.4
Schuylkill Banks Pergola,3212,3212,2124,3212,2098,32,0.5520257826887661,3697.0,0.0,0.02731944812734799,0.721936703484077,2.896889233168299,0,1.5411572671455398,2.7734166892716123,1051.0
